n,avg_time_ms,stddev_ms
1010,0,0
1020,0,0
1030,0,0
1040,8.81433,12.4653
1050,2.85367,2.14073
1060,0.894667,1.26525
1070,0,0
1080,2.61267,2.60135
1090,0.667667,0.944223
1100,0.667667,0.944223
1110,0.443333,0.626968
1120,1.01233,0.830403
1130,0.667667,0.944223
1140,0.581,0.821658
1150,0.58,0.820244
1160,0.914,0.713072
1170,0,0
1180,0,0
1190,0,0
1200,0,0
1210,0,0
1220,0,0
1230,6.07667,7.07567
1240,0.669,0.946109
1250,1.33533,0.944224
1260,0.581,0.821658
1270,0.58,0.820244
1280,1.335,0.943988
1290,2.676,2.5037
1300,1.33633,0.944931
1310,0.581,0.821658
1320,1.24767,0.888743
1330,0.581,0.821658
1340,1.24867,0.889201
1350,1.24833,0.889015
1360,0.58,0.820244
1370,0.914333,0.713114
1380,1.335,0.943988
1390,1.24867,0.889298
1400,0.580333,0.820715
1410,1.33467,0.943752
1420,0.667333,0.943752
1430,0,0
1440,0,0
1450,0,0
1460,0,0
1470,5.26433,7.44489
1480,0,0
1490,0,0
1500,0,0
1510,5.266,7.44725
1520,1.33533,0.944223
1530,1.33467,0.943752
1540,1.24833,0.889015
1550,1.335,0.943988
1560,1.33533,0.944224
1570,1.335,0.943988
1580,1.24833,0.889015
1590,0.667333,0.943752
1600,0,0
1610,0,0
1620,0,0
1630,5.24933,7.42368
1640,0,0
1650,0,0
1660,0,0
1670,5.224,7.38785
1680,0,0
1690,0,0
1700,5.21567,7.37607
1710,1.335,0.943988
1720,2.00233,0.000471405
1730,1.24833,0.889015
1740,1.82967,0.122565
1750,1.24833,0.889015
1760,1.82867,0.123278
1770,1.58167,0.423509
1780,1.916,0.12233
1790,1.24733,0.88846
1800,2.076,0.470933
1810,1.33467,0.943752
1820,1.91567,0.122094
1830,1.494,0.347897
1840,1.91567,0.122094
1850,1.82733,0.123508
1860,1.495,0.348606
1870,0,0
1880,0,0
1890,6.03233,7.15692
1900,1.917,0.123039
1910,1.82733,0.123508
1920,0.915,0.714231
1930,0,0
1940,0,0
1950,5.22,7.38219
1960,0,0
1970,5.27167,7.45526
1980,2.00233,0.000942809
1990,2.49567,0.698151
2000,2.00267,0.000471405
2010,1.82833,0.122807
2020,2.50033,0.896416
2030,2.75133,0.895124
2040,2.24533,0.343418
2050,1.43,2.02233
2060,2.29867,1.6905
2070,0,0
2080,4.29033,6.06745
2090,0,0
2100,5.325,7.53069
2110,0,0
2120,0,0
2130,8.117,6.95502
2140,2.49633,1.0675
2150,0,0
2160,0,0
2170,8.13833,7.97864
2180,1.69467,2.39662
2190,2.27533,1.64059
2200,0,0
2210,5.58067,5.05958
2220,3.07567,0.966495
2230,2.49633,0.888743
2240,2.58333,0.821422
2250,2.58367,0.821187
2260,2.583,0.821658
2270,0.667333,0.943752
2280,0,0
2290,7.19033,6.17112
2300,2.40867,0.766461
2310,3.00467,0.818946
2320,2.58333,0.821422
2330,2.58333,0.822129
2340,3.163,0.848057
2350,2.58333,0.821422
2360,2.66933,0.943752
2370,3.33767,0.94446
2380,2.49667,0.889015
2390,3.25033,0.889015
2400,1.161,0.820952
2410,0,0
2420,5.245,7.41755
2430,5.212,7.37088
2440,2.58433,0.821423
2450,3.16467,0.818596
2460,0,0
2470,5.35733,6.21153
