n,avg_time_ms,stddev_ms
1010,0,0
1020,5.33967,7.55143
1030,0,0
1040,0,0
1050,0,0
1060,0,0
1070,0,0
1080,0,0
1090,0,0
1100,0,0
1110,0,0
1120,0,0
1130,0,0
1140,5.32533,7.53116
1150,0.378333,0.535044
1160,0.225,0.318198
1170,0.936333,0.68528
1180,0,0
1190,0.889333,0.857509
1200,0.376,0.531744
1210,0.508667,0.719363
1220,0,0
1230,0,0
1240,0,0
1250,0.225333,0.318669
1260,0,0
1270,0,0
1280,0.668667,0.945637
1290,0,0
1300,0,0
1310,0.668333,0.945166
1320,0,0
1330,0.808,1.14268
1340,0,0
1350,0,0
1360,0,0
1370,0,0
1380,0,0
1390,2.36933,3.35074
1400,0,0
1410,0,0
1420,0,0
1430,0,0
1440,0,0
1450,0,0
1460,0,0
1470,0,0
1480,0,0
1490,2.71967,3.84619
1500,0,0
1510,0,0
1520,0,0
1530,0,0
1540,0,0
1550,0,0
1560,0,0
1570,0,0
1580,0,0
1590,0,0
1600,0,0
1610,0,0
1620,0,0
1630,0,0
1640,0,0
1650,0,0
1660,0,0
1670,0,0
1680,0.669,0.946109
1690,0,0
1700,0.668,0.944695
1710,0,0
1720,0.667667,0.944223
1730,0,0
1740,0,0
1750,0.667333,0.943752
1760,0,0
1770,0.581333,0.822129
1780,0,0
1790,0.58,0.820244
1800,0,0
1810,0.58,0.820244
1820,0,0
1830,0.58,0.820244
1840,0,0
1850,0,0
1860,0,0
1870,0,0
1880,0,0
1890,0,0
1900,0,0
1910,0,0
1920,0,0
1930,0,0
1940,0,0
1950,0,0
1960,0,0
1970,0,0
1980,0,0
1990,0,0
2000,0,0
2010,0,0
2020,5.26767,7.44961
2030,0,0
2040,0,0
2050,0,0
2060,0,0
2070,0,0
2080,0,0
2090,0,0
2100,0,0
2110,0,0
2120,0,0
2130,0,0
2140,0,0
2150,0,0
2160,0,0
2170,0,0
2180,5.22333,7.38691
2190,0,0
2200,0,0
2210,0,0
2220,0,0
2230,0,0
2240,0,0
2250,0,0
2260,0,0
2270,0,0
2280,0,0
2290,0,0
2300,0,0
2310,0,0
2320,0,0
2330,5.36533,7.58773
2340,0.668333,0.945166
2350,0,0
2360,0.668,0.944695
2370,0,0
2380,0.667667,0.944223
2390,0.581,0.821658
2400,0,0
2410,0.58,0.820244
2420,0,0
2430,0.667667,0.944223
2440,0.581,0.821658
2450,0,0
2460,0.667333,0.943752
2470,0,0
2480,0.667667,0.944223
2490,0.581,0.821658
2500,0,0
2510,0.58,0.820244
2520,0.58,0.820244
2530,0,0
2540,0.58,0.820244
2550,0.580333,0.820715
2560,0,0
2570,0.667333,0.943752
2580,0.581,0.821658
2590,0,0
2600,0.501,0.708521
2610,0,0
2620,0,0
2630,0.581,0.821658
2640,0.58,0.820244
2650,0.58,0.820244
2660,0,0
2670,0.58,0.820244
2680,0.58,0.820244
2690,0,0
2700,0.580333,0.820715
2710,0.667333,0.943752
2720,0.501,0.708521
2730,0,0
2740,0.668,0.944695
2750,0.667667,0.944223
2760,0,0
2770,0.581,0.821658
2780,0.58,0.820244
2790,0.58,0.820244
2800,0,0
2810,0.58,0.820244
2820,0.667667,0.944223
2830,0,0
2840,0.915333,0.714272
2850,0,0
2860,0.667667,0.944223
2870,0.667333,0.943752
2880,0,0
2890,0.667667,0.944223
2900,0.581,0.821658
2910,0.667333,0.943752
2920,0,0
2930,0.581333,0.822129
2940,0.667333,0.943752
2950,0,0
2960,0.581333,0.822129
2970,0.668333,0.945166
2980,0.668,0.944695
2990,0.667333,0.943752
3000,0,0
3010,0.667667,0.944223
3020,0.581,0.821658
3030,0,0
3040,0.667333,0.943752
3050,0.581,0.821658
3060,0.959,1.35623
3070,0,0
3080,0.677,0.47872
3090,0.337333,0.477061
3100,0.674,0.47659
3110,0.337,0.47659
3120,0,0
3130,0.617667,0.873513
3140,0.667667,0.944223
3150,0,0
3160,1.00167,0.817721
3170,0,0
3180,0.667667,0.944223
3190,0.667667,0.944223
3200,0.581,0.821658
3210,0,0
3220,0.667333,0.943752
3230,0.581,0.821658
3240,0.58,0.820244
3250,0.58,0.820244
3260,0.667667,0.944223
3270,0.334,0.472347
3280,0.667667,0.944223
3290,0,0
3300,0,0
3310,0.581,0.821658
3320,0,0
3330,0.667333,0.943752
3340,0.667667,0.944223
3350,0.581,0.821658
3360,0,0
3370,0.667333,0.943752
3380,0,0
3390,0.667333,0.943752
3400,0.581,0.821658
3410,0.667333,0.943752
3420,0,0
3430,0.581,0.821658
3440,0.58,0.820244
3450,0.580333,0.820715
3460,0.667667,0.944223
3470,0.334333,0.472819
3480,0.667667,0.944223
3490,0.667333,0.943752
3500,0.581,0.821658
3510,0.58,0.820244
3520,0.667667,0.944223
3530,0.581,0.821658
3540,0.58,0.820244
3550,0.58,0.820244
3560,0.335333,0.474233
3570,0.668333,0.945166
3580,0.667667,0.944223
3590,0.581,0.821658
3600,0.58,0.820244
3610,0.667667,0.944223
3620,0.581,0.821658
3630,0,0
3640,0,0
3650,0.915333,0.714272
3660,0.667667,0.944223
3670,0.581,0.821658
3680,0.667333,0.943752
3690,0,0
3700,0.667333,0.943752
3710,0.581333,0.822129
3720,0.58,0.820244
3730,0.58,0.820244
3740,1.00133,0.817313
3750,0,0
3760,0.668667,0.945637
3770,0,0
3780,0,0
3790,0,0
3800,0,0
3810,0,0
3820,3.91267,5.53335
3830,0.668667,0.945637
3840,0.668,0.944695
3850,0.667667,0.944223
3860,0.667333,0.943752
3870,0.581,0.821658
3880,0.58,0.820244
3890,0.667667,0.944223
3900,0.667333,0.943752
3910,0.667667,0.944223
3920,0,0
3930,0.58,0.820244
3940,0.58,0.820244
3950,0.58,0.820244
3960,0.58,0.820244
3970,0.667667,0.944223
3980,0.667333,0.943752
3990,0.334,0.472347
4000,0.667667,0.944223
4010,0.667667,0.944223
4020,0.581,0.821658
4030,0.667333,0.943752
4040,0,0
4050,0.581333,0.822129
4060,0.667333,0.943752
4070,0.667333,0.943752
4080,0.693,0.98005
4090,0,0
4100,0.581,0.821658
4110,0.58,0.820244
4120,1.16,0.820244
4130,0.58,0.820244
4140,0.667667,0.944223
4150,0.334,0.472347
4160,0.667667,0.944223
4170,0.667333,0.943752
4180,0.667333,0.943752
4190,0.668333,0.945166
4200,0.667667,0.944223
4210,0.581,0.821658
4220,0.58,0.820244
4230,0.667667,0.944223
4240,0.667667,0.944223
4250,0.667333,0.943752
4260,0.667333,0.943752
4270,1.24867,0.889201
4280,0.667333,0.943752
4290,0.667333,0.943752
4300,0.667333,0.943752
4310,0,0
4320,0.581333,0.822129
4330,0.667333,0.943752
4340,0,0
4350,0.58,0.820244
4360,1.16,0.820244
4370,0.667333,0.943752
4380,0.334,0.472347
4390,1.37567,0.973997
4400,0.581333,0.822129
4410,0.58,0.820244
4420,0.58,0.820244
4430,0.240667,0.340354
4440,1.33667,0.945166
4450,0.961667,0.819659
4460,0.668,0.944695
4470,0.667667,0.944223
4480,0.581333,0.822129
4490,1.00167,0.817314
4500,0,0
4510,0,0
4520,0,0
4530,0,0
4540,0,0
4550,0,0
4560,5.357,7.57594
4570,0.668333,0.945166
4580,0.667667,0.944223
4590,0.667333,0.943752
4600,0.667333,0.943752
4610,0.581333,0.822129
4620,0.667667,0.944223
4630,0.581,0.821658
4640,0,0
4650,0,0
4660,0,0
4670,0,0
4680,0,0
4690,0,0
4700,5.69233,8.05018
4710,0.668333,0.945166
4720,0.581333,0.822129
4730,0.334333,0.472819
4740,0,0
4750,1.77967,2.51683
4760,1.00833,1.426
4770,0,0
4780,1.28033,1.81066
4790,0,0
4800,0,0
4810,0,0
4820,0,0
4830,4.62733,5.19059
4840,0.668,0.944695
4850,0.667667,0.944223
4860,0.667333,0.943752
4870,1.161,0.820952
4880,0,0
4890,0.667333,0.943752
4900,0,0
4910,0,0
4920,0,0
4930,0,0
4940,0,0
4950,0,0
4960,0,0
4970,0,0
4980,0,0
4990,0,0
5000,0,0
5010,0,0
5020,5.23133,7.39822
